id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
218869,HAI-2004-1-440-39,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,13,"""Reuters News,2004-02-06,Four dead in attack on Haitian police station."";""Agence France Presse,2004-02-05,Armed Aristide rivals seize police station in northwestern Haiti."";""Agence France Presse,2004-02-05,Four killed in Haiti attack."";""Associated Press Newswires,2004-02-06,Rebels Vow to Repel Cops in Haitian City"";""Associated Press Newswires,2004-02-07,Militants pledge to repel police in Haiti's fourth-largest city, demand Aristide's ouster"";""Agence France Presse,2004-02-06,Four dead, 20 injured as Aristide rivals torch police station in Haiti."";""Agence France Presse,2004-02-06,Armed rebels seize Haiti's fourth-largest city."";""Agence France Presse,2004-02-06,11 killed in Haiti police station attack - toll."";""Associated Press Newswires,2004-02-08,Scenes of horror as police fight militants for control of Haiti's fourth-largest city"";""Associated Press Newswires,2004-02-08,Scenes of horror as police fight militants for control of Haiti's fourth-largest city"";""Agence France Presse,2004-02-07,Haitian police move into city taken by rebels."";""Agence France Presse,2004-02-07,14 police killed in sweep into rebel-seized city - rebel leader."";""Agence France Presse,2004-02-07,14 dead as Haitian police move into rebel city.""",Reuters News;Agence France Presse;Agence France Presse;Associated Press Newswires;Associated Press Newswires;Agence France Presse;Agence France Presse;Agence France Presse;Associated Press Newswires;Associated Press Newswires;Agence France Presse;Agence France Presse;Agence France Presse,2004-02-06;2004-02-05;2004-02-05;2004-02-06;2004-02-07;2004-02-06;2004-02-06;2004-02-06;2004-02-08;2004-02-08;2004-02-07;2004-02-07;2004-02-07,"Four dead in attack on Haitian police station.;Armed Aristide rivals seize police station in northwestern Haiti.;Four killed in Haiti attack.;Rebels Vow to Repel Cops in Haitian City;Militants pledge to repel police in Haiti's fourth-largest city, demand Aristide's ouster;Four dead, 20 injured as Aristide rivals torch police station in Haiti.;Armed rebels seize Haiti's fourth-largest city.;11 killed in Haiti police station attack - toll.;Scenes of horror as police fight militants for control of Haiti's fourth-largest city;Scenes of horror as police fight militants for control of Haiti's fourth-largest city;Haitian police move into city taken by rebels.;14 police killed in sweep into rebel-seized city - rebel leader.;14 dead as Haitian police move into rebel city.","independent Radio Metropole 
 Haitian Red Cross",1,Gonaives town,northern city of Gonaives,L'Artibonite department,Gonaïves arrondissement,19.447490,-72.689030,POINT (-72.68903 19.44749),157175,Haiti,HTI,41,Americas,1,1,2004-02-05 00:00:00.000,2004-02-05 00:00:00.000,3,0,4,4,11,11,7,41,
218872,HAI-2004-1-440-42,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,1,"""Associated Press Newswires,2004-02-09,Uprising spreads in Haiti; death toll rises to 46""",Associated Press Newswires,2004-02-09,Uprising spreads in Haiti; death toll rises to 46,"opposition politician and former coup leader, former army Col. Himler Rebu",4,L'Artibonite department,eight towns in eastern Haiti,L'Artibonite department,,19.333330,-72.500000,POINT (-72.5 19.33333),157176,Haiti,HTI,41,Americas,2,2,2004-02-05 00:00:00.000,2004-02-09 00:00:00.000,0,0,0,0,0,24,0,41,
218871,HAI-2004-1-440-41,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,2,"""Associated Press Newswires,2004-02-08,Crowds loot port as uprising spreads in Haiti after bloody battles between police, gunmen"";""Agence France Presse,2004-02-08,Coinflicting death toll as Haitian police move into rebel city.""",Associated Press Newswires;Agence France Presse,2004-02-08;2004-02-08,"Crowds loot port as uprising spreads in Haiti after bloody battles between police, gunmen;Coinflicting death toll as Haitian police move into rebel city.",rebel leader Etienne Winter,1,Gonaives town,,L'Artibonite department,Gonaïves arrondissement,19.447490,-72.689030,POINT (-72.68903 19.44749),157175,Haiti,HTI,41,Americas,1,1,2004-02-07 00:00:00.000,2004-02-07 00:00:00.000,7,0,0,2,9,14,9,41,
218870,HAI-2004-1-440-40,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,1,"""Associated Press Newswires,2004-02-09,Crowds Loot Haiti Port; Uprising Spreads""",Associated Press Newswires,2004-02-09,Crowds Loot Haiti Port; Uprising Spreads,,1,Saint-Marc town,,L'Artibonite department,Saint-Marc arrondissement,19.116667,-72.700000,POINT (-72.7 19.116667),157175,Haiti,HTI,41,Americas,1,1,2004-02-08 00:00:00.000,2004-02-08 00:00:00.000,0,0,0,2,2,2,2,41,
218877,HAI-2004-1-440-43,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,1,"""Associated Press Newswires,2004-02-10,At Least 41 Die in Haiti Rebellion""",Associated Press Newswires,2004-02-10,At Least 41 Die in Haiti Rebellion,,1,Saint-Marc town,,L'Artibonite department,Saint-Marc arrondissement,19.116667,-72.700000,POINT (-72.7 19.116667),157175,Haiti,HTI,41,Americas,1,1,2004-02-09 00:00:00.000,2004-02-09 00:00:00.000,0,0,0,2,2,2,2,41,
218881,HAI-2004-1-440-44,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,1,"""Agence France Presse,2004-02-11,Haiti unrest claims three more lives.""",Agence France Presse,2004-02-11,Haiti unrest claims three more lives.,AFP correspondent.,1,Saint-Marc town,,L'Artibonite department,Saint-Marc arrondissement,19.116667,-72.700000,POINT (-72.7 19.116667),157175,Haiti,HTI,41,Americas,1,1,2004-02-11 00:00:00.000,2004-02-11 00:00:00.000,0,0,0,3,3,3,3,41,
218909,HAI-2004-1-440-46,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,2,"""Agence France Presse,2004-02-16,Haiti blood-letting continues as rebel leader renounces use of violence."";""Agence France Presse,2004-02-16,Haiti unrest claims two more lives - death toll creeps past 50.""",Agence France Presse;Agence France Presse,2004-02-16;2004-02-16,Haiti blood-letting continues as rebel leader renounces use of violence.;Haiti unrest claims two more lives - death toll creeps past 50.,"An associate of the dead men, Jodesty Auguste AFP on Monday.",1,Saint-Marc town,,L'Artibonite department,Saint-Marc arrondissement,19.116667,-72.700000,POINT (-72.7 19.116667),157175,Haiti,HTI,41,Americas,1,2,2004-02-15 00:00:00.000,2004-02-16 00:00:00.000,0,2,0,0,2,2,2,41,
218902,HAI-2004-1-440-45,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,3,"""Associated Press Newswires,2004-02-17,Haitian rebels aided by former soldiers attack another police station as anarchy spreads in troubled nation"";""Associated Press Newswires,2004-02-16,Haitian Rebels Kill Police Chief"";""Associated Press Newswires,2004-02-16,Haitian Rebels Kill Police Chief""",Associated Press Newswires;Associated Press Newswires;Associated Press Newswires,2004-02-17;2004-02-16;2004-02-16,Haitian rebels aided by former soldiers attack another police station as anarchy spreads in troubled nation;Haitian Rebels Kill Police Chief;Haitian Rebels Kill Police Chief,,1,Hinche town,,Centre department,Hinche arrondissement,19.150000,-72.016667,POINT (-72.016667 19.15),157176,Haiti,HTI,41,Americas,1,1,2004-02-16 00:00:00.000,2004-02-16 00:00:00.000,3,0,0,0,3,3,3,41,
186102,HAI-2004-1-440-33,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,2,"""Agence France Presse,2004-02-23,Some 10 civilians dead in Cap Haitien attacks - official."";""Agence France Presse,2004-02-23,Some 10 civilians killed in Cap Haitien - civilian opposition weighs Haiti power-sharing plan.""",Agence France Presse;Agence France Presse,2004-02-23;2004-02-23,Some 10 civilians dead in Cap Haitien attacks - official.;Some 10 civilians killed in Cap Haitien - civilian opposition weighs Haiti power-sharing plan.,Secretary of State of Communications Mario Dupuy and the Red Cross.,1,Cap-Haïtien town,Cap Haiten,Nord department,Cap-Haïtien arrondissement,19.760000,-72.200000,POINT (-72.2 19.76),157896,Haiti,HTI,41,Americas,2,2,2004-02-22 00:00:00.000,2004-02-23 00:00:00.000,0,0,10,0,10,10,10,41,
186104,HAI-2004-1-441-31,2004,true,Clear,1,381,381,Haiti: Government,817,817,Government of Haiti - OP Lavalas,6,6,Government of Haiti,766,766,OP Lavalas,1,"""EFE News Service,2004-08-31,French official narrowly escapes attack in Haitian capital""",EFE News Service,2004-08-31,French official narrowly escapes attack in Haitian capital,An official,1,Port-au-Prince city,Site Soleil Slum,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,2004-08-31 00:00:00.000,2004-08-31 00:00:00.000,0,0,0,0,0,1,0,41,
